Last,First
UnYear1989,gn
UnYear1990,gn
UnYear1991,gn
UnYear1992,gn
UnYear1994,gn
UnYear1995,gn
UnYear1996,gn
UnYear1997,gn
UnYear1998,gn
UnYear1999,gn
Uno,Michael Toshiyuki
Ustinov,Peter
Uys,Michael
Plemiannikoff,Roger Vadim
Valdex,Luis
Valentine,Joseph A.
van Damme,Jean-Claude
van Diem,Mike
Van Dormael,Jaco
van Horn,Buddy
van Lieshout,Ben
Van Peebles,Mario
Van Peebles,Melvin
van Warmerdam,Alex
Varda,Agnes
Varnel,Marcel
Varnel,Max
Vasquez,Joseph
Vavra,Otakar
Veber,Francis
Ventimiglia,Baron
Verbinski,Gore
Verdone,Carlo
VerdonRoe,Vivienne
Verheul,Tom
Verhoeven,Michael
Verhoeven,Paul
Verneuil,Henri
Veronis,Nick
Verow,Todd
Kaufman,Dennis (Dziga)
VeSota,Bruno
Victor,David
Vidor,Charles
Vidor,King
Viertel,Berthold
Vigne,Daniel
Almareyda,Jean
Villaronga,Agustin
Vilsmaier,Joseph
Vince,Pruit Taylor
Vincent,Christian
Vinterberg,Thomas
Viola,Joe
Virgien,Norton
Visconti de Modrone,Luchino
Vlahos,Petro
Vitale,Tony
Vohrer,Alfred
von Trier,Lars
von Scherler Mayer,Daisy
von Trotta,Margaretha
Vorhaus,Bernard
Vorkapich,Slauko
Stroheim von Nordenwall,Hans Erich Maria
Voulgaris,Pantellis
Vrettakos,Costas
Wachowski,Andy
Wadleigh,Michael
Waggoner,George
Wagner,Paul
Wajda,Andrzej
Walker,Dorian
Walker,Pete
Walker,Stuart
Wallace,Mary
Wallace,Richard
Wallace,Randall
Wallace,Tommy Lee
Waller,Anthony
Wallis,Hal B.
Walls,Tom
Walsh,Raoul
Walsh,Bill
Walters,Charles
Walton,Fred
Walz,Martin
Wanamaker,Sam
Wang,Wayne
Ward,David S.
Ward,Vincent
Warhol,Andy
Warner,Abe
Warner,Deborah
Warner,Harry
Warner,Jack L.
Warner,Sam
Guaragna,Salvatore
Wartman,Sonke
Waszynski,Machael
Waters,John
Watt,Harry
Watts,Roy
Waxman,Franz
Morrison,Marion Michael (John)
Wayne,Michael
Webb,Jack
Webb,Millard
Webb,Robert D.
Weber,Lois
Weber,Bruce
Weeks,Andrew
Weide,Robert
Wegener,Paul
Weiland,Paul
Weill,Claudia
Weintraub,Sy
Weir,Peter
Weis,Don
Weis,Gary
Weisberg,Roger
Weisman,Sam
Weiss,Rob
Wekwerth,Manfred
Welles,Mel
Welles,Orson
Wellington,David
Wellman,William Augustus
Wells,Simon
Wenders,Wim
Wendkos,Paul
Weng,Jian
Werker,Alfred L.
Werneck,Sandra
Werner,Jf
Werner,Peter
Wertheim,Ron
West,Langdon
West,Roland
West,Simon
Wexler,Haskell
Whale,James
Wheeler,Lyle
Whelan,Tim
Wharton,Edith
Whatham,Claude
White,Jules
White,George
Whitehead,Robert
Whitaker,Forest
Whitney,Mark
Whitney,William
Wickes,David
Whitesell,Jane
Wiard,William
Widerberg,Bo
Wickes,David
Wicki,Bernard
Wiederhorn,Ken
Wiemer,Robert
Wiene,Conrad
Wiene,Robert
Wilcox,Fred McLeod
Wilcox,Herbert
Wilde,Cornel
Wilde,Oscar
Wilde,Ted
bn,gn
Wildenhahn,Klaus
Wilder,Samuel (Billy)
Silberman,Jerry
Wilder,W.Lee
Wilhelm,Carl
Willat,Irvin
Williams,David D.
Williams,John
Williams,J.B.
Williams,Marsha Garces
Williams,Paul
Williams,Richard
Williams,Tenessee
Williamson,Fred
Williamson,Kevin
Wiils,Gordon
Willutzki,Max
Wilson,Hugh
Wilson,Hugh
Winant,Scott
Wincer,Simon
Windust,Bretaigne
Winkler,Irwin
Winkler,Henry
Winner,Michael
Winterbottom,Michael
Winters,David
Wise,Herbert
Wise,Kirk
Wise,Robert
Wiseman,Fred
Witney,William
Wohl,Ira
Wong,Kar-Wei (Kirk)
Woo,John
Wood,Edward D.jr.
Wood,Sam
Woods,Arthur B.
Wolk,Andy
Wolff,Hans
Wood,Duncan
Woodhead,Leslie
Woodruff,Frank
Woolrich,Cornell
Workman,Chuck
Worsley,Wallace
Wrede,Caspar
Wright,Geoffrey
Wright,William H.
Wrye,Donald
Wu,TianMeng
Wurtzel,Stuart
Wyler,William
Wyler,Catherine
Wynorski,Jim (Jimbo)
Wynn,Tracy Keenan
Yagher,Kevin
Yamada,Yoji
Yamamoto,Kajiro
Yanagimachi,Mitsuo
Yanchuk,Oles
Yang,Edward
Yanne,gn
Yansan,Louis
Yarborough,Jean
Yates,Peter
Yeaworthy,Irvin S.
Yeh,Hung-Wei
Yellen,Linda
Yeller,xfn
name,xfn
Yorkin,Alan
Yosha,Yaky
Yoshida,Yoshishigue
Yoshida,Kaoru
Young,Frederick A.
Young,Harold
Young,Roger
Young,Robert
Young,Terence
Yule,Paul
Zaillian,Steven
Zaggario,Vito
Zaks,Jerry
Zampa,Luigi
Zampi,Mario
Zanussi,Krystof
Zanuck,Daryl F.
Zanuck,Lili Fini
Zanuck,Richard D.
Zarindast,Tony M.
Zefferelli,Franco
Zeilinger,Jimmy
Zemeckis,Robert
Zetterling,Mai
Zhang,Yi Mou
Zuang,Yuan
Zhou,XioaWen
Zhuangzhuang,Tian
Zidi,Claude
Ziegfeld,Florenz
Ziegler,Renate
Zieff,Howard
Ziem,Howard
Zimbalist,Sam
Zimmerman,Vernon
Zincone,Bruno
Zinneman,Fred
Zito,Joseph
Zonca,Erick
Dick Zondag,Dick
Zlotoff,Lee David
Zsigmond,Vilmos
Zucker,Jerry
Zucker,David
Zuckor,Adolph
Zugsmith,Albert
Zulawski,Andrzaj
Zwick,Edward
Aames,William
Abbott,William
Abbott,George
Abbott,John
Abbott,Philip
Abel,Walter
Ackland,Joss
Ackroyd,Dan
Acosta,Rodolfo
Acuff,Eddie
Adair,Jean
Adam,Alfred
Adam,Ronald
Adams,Beverly
Adams,Brooke
Barab,Catlin
Adams,Dorothy
Enke,Elizabeth Edith
Adams,Jane
Adams,Julia
Wikstrom,Maude
Adamschock,Nicholas
Adams,Robert
Adams,Tome
Addams,Dawn
Addy,Wesley
Adjani,Isabelle
Adler,Jay
Adler,Lutha
Adorf,Mario
Bor,Max
Agar,John
bn,fn
Agutter,Jenny
Aherne,Brian
Ahn,Philip
Ainley,Richard
Aked,Muriel
Akins,Claude
Aksoy,Serap
Alberghetti,Anna Maria
Albers,Han
Heimberger,Eddie Albert
Albert,Edward
Albertson,Frank
Albertson,Jack
Albertson,Mabel
Albrecht,Hardy
Albright,Lola
Alda,Alan
Alderton,John
Alexander,Nicholas Benton
Quigley,Jane
Alexander,John
Alexander,Katherine
Alexander,Ross
Alexander,Terence
Clay,Cassius
Alison,Dorothy
Allan,Elizabeth
Alland,William
Allen,Chesney
Gillease,Elizabeth
Sullivan,John F.
Allen,Gracie
Allen,Karen
Allen,Nancy
Allen,Patrick
Allen,Steve
Konigsberg,Allen Stewart
Alley,Kirstie
Allgood,Sara
Palmer,Claud
Allwyn,Astrid
Geisman,Ella
Almodovar,Pedro
Alyn,Kirk
Amici,Dominic Felix
Wycoff,Leon
Philips,Ramsay
Amis,Suzy
bn,fn
Anders,Glenn
Anders,Luana
Anders,Merry
Anderson,Eddie
Aronson,Max
Anderson,Harriet
Anderson,Herbert
Anderson,Jean
Anderson,John
Anderson,Dame Frances Margaret
Anderson,Lindsay
Anderson,Loni
Anderson,Mary
Anderson,Michael
Anderson,Richard
Anderson,Rona
Anderson,Warner
Andersson,Bibi
Andersson,Harriet
Ursula,Andress
Andrews,Anthony
Andrews,Carver Daniel
Andrews,Edward
Andrews,Harry
Wells,Julia
Andrews,Stanley
Angel,Heather
Pierangeli,Anna Maria
Angelou,Maya
Findlay,M.A.
Ankers,Evelyn
Morris,Stephen
Annis,Francesca
Olsson,Ann-Margret
Ansara,Michael
Anspach,Susan
Antony,Scott
Davenbort,Burnu
Arbuckle,Roscoe (Fatty)
Archer,Anne
Ardant,Fanny
Quedens,Eunice
Arkin,Alan
van Mattemore,Cornelius
Bathiat,Leonie
Andrews,George Augustus
Armendariz,Pedro
Armetta,Henry
Armstrong,Bess
Armstrong,R.G.
Smith,Donald Robert
Armstrong,Todd
Arnaud,Yvonne
Arnaz,Lucie
Arnaz y de Acha,Desiderio
Arnaz,Desi
Albrecht,Peter Arne
Aurness,James
Schneider,Guenther
Arnt,Charles
Artaud,Antonin
Frankel,Bernice
Brest,G.K.A.
Greene,Gladys
Arvidson-Griffith,Linda
Ashcroft,Dame Peggy
Asher,Jane
Asherson,Ren
Cooper,E.A.
Cole,Elizabeth
Askew,Luke
Askey,Arthur
Asner,Edward
Austerlitz,Frederick
Asther,Nils
Astin,John
Duke Astin,Patty
Astor,Gertrude
Langehanke,Lucille
Atherton,William
Atkins,Christopher
Atkins,Eileen
Tadoroko,Yasuo
Attenborough,Sir Richard
Atterbury,Malcolm
Atwater,Edith
Atwill,Lionel
Aubert,Leonore
Vujovic,Vladimir
Audley,Maxine
Ounskowsky,Mischa
Auger,Claudine
Cragg,Mary
Salomons,Jean-Pierre
Autry,Gene
Avallone,Francis
Avedon,Doe
Aykroyd,Dan
Aylmer Jones,Felix Edward
Hinkle,Agnes
Ayer,Lewis
Ayres,Robert
Ayrton,Randle
Aznavurjan,Shahnour
Perske,Betty Jean
Bach,Barbara
Bach,Pamela
bn,fn
Backus,Jim
Baddely,Hermione
Badel,Alan
Baer,Jacob Henry
Baer,Max
Bailey,Pearl
Bain,Barbara
Bainter,Fay
Baio,Scott
Baker,Carrol
Baker,Diane
Baker,Hylda
Baker,Joe Don
Baker,Josephine
Baker,Kenny
Baker,Sir Stanley
Baker,Tom
Balaban,Bob
Balcon,Jill
Baldwin,Alec
Baldwin,Daniel
Baldwin,Stephen
Baldwin,William (Billy)
Balfour,Betty
Balin,Mireille
Ball,Lucille
Ball,Vincent
Balotta,Catherine (Kaye)
Balsam,Martin
Italiano,Anna Maria
Bancroft,George
Bankhead,Tallulah
Banks,Leslie
Lonchit,Vilma
Bannen,Ian
Banner,John
Goodman,Theodosia
Barba,Vanna
Barbeau,Adrienne
Barbier,George
Javal,Camille
Javal,Mijanou
Fisher,Marjorie
Baring,Norah
Barker,Erik
Barker,Ronnie
Barker,Alexander
Barkin,Ellen
Barnes,Gitelle
Barnes,Joanna
Barrault,Jean-Louis
Barrault,Marie-Christine
Williams,Edith
Kelly,Lucille
Barrie,Barbara
Smith,Mona
Jenkins,Wendy
Barrier,Edgar
Klass,Eugene
Barry,Joan
Barrymore Blythe,Diane Blanche
Barrymore,Drew
Blythe,Edith Mae
Blythe,John
Blythe Barrymore,John Drew
Blythe,Lionel
Rankin,Doris
Fenwick,Irene
Blythe,Herbert
Blythe,Herbert
Bartels,Paul
Barthelmess,Richard
Llewellyn,Frederick
Barton,James
Basehart,Richard
Basinger,Kim
Basie,William
Baskin,Richard
Bass,Alfie
Basquette,Lena
Basserman,Albert
Bassett,Angela
Bastedo,Alexandra
Bates,Alan
Rabe,Florence
Bates,Kathy
Bates,Michael
Baur,Harry
Baxley,Barbara
Baxter,Alan
Baxter,Ann
Forde,Feodora
Baxter,Warner
Neri,Rosalba
Baye,Nathalie
Bayldon,Geoffrey
Beacham,Stephanie
Bliedung,Alexander
Beatty,Ned
Beatty,Robert
Beaty,Warren
Beavers,Louise
Bechet,Sidney
Beck,Jennifer
Beck,John
Beck,Michael
Beckett,Scotty
Beckwith,Reginald
Beddoe,Don
Bedelia,Bonnie
Bedi,Kabir
Bedoya,Alfonso
Beery,Noah
Beery~jr.,Noah
Beery,Wallace
Begley,Ed
Begley~jr.,Ed
Belafonte,Harry
Lewis,Barbara Geddes
Bell,Ann
Bell,James
Bellon-Downey,Marie-Jeanne
Bell,Rex
Bell,Tom
Philpott,Margaret
Bellamy,Ralph
Bellaver,Harry
Beller,Kathleen
Belmondo,Jean
Belmore,Lionel
Belushi,John
Benchley,Robert
Bendix,William
Benedict,Billy
Niewoehner,Dirk
Benedetto,Riccardo
Bening,Annette
Benjamin,Richard
Bennett,Belle
Bennett,Barbara
Bennett,Belle
Brix,Herman
Bennett,Constance
Bennett,Hywel
Bennett,Jill
Bennett,Joan
Bennett,John
Bennett,Marjorie
Bennett,Richard
Benning,Anette
Kubelsky,Benjamin
Benson,Martin
Segal,Robert
Bentine,Michael
Berenger,Tom
Berenson,Marisa
Bergen,Candice
Burgin,Nellie
Steinberger,Helmut
Berger,Senta
Bergerac,Jacques
Berghof,Herbert
Bergman,Ingrid
Ettel,Elisabeth
Berlinger,Mendel
Baline,Israel
Berlin,Jean
Berman,Shelley
Bernhard,Sandra
Bernhard,Sarah
Bernardi,Herschel
Bernard,Rosalie
Paufichet,Jules
Berry,Ken
Berti,Marina
Besserer,Eugenie
Best,Edna
Best,Willie
Bey,Turhan
Beymer,Richard
Bianchi,Daniela
Bickford,Charles
Bikel,Theodore
Bill,Tony
Bing,Herman
Binns,Edward
Binoche,Julliette
Birch,Paul
Bird,Norman
Birney,David
Brown,Jacqueline
Bissell,Whit
Bisset,Jacqueline
Bixby,Bill
Ziegeler,Karen
Blackman,Honor
Blackman,Joan
Blackmer,Sidney
Blain,Gerard
Stapleton,Vivienne
Boger,Elizabeth
Lafferty,Martha
Blair,Linda
Blake,Amanda
McDonald,Blossom
Gubitosi,Michael (Bobby)
Blake,Whitney
Blakely,Colin
Blakely,Susan
Blakley,Ronee
Blanc,Michel
Blanchar,Pierre
Blanchard,Mary
Blandick,Clara
Jung,Elizabeth
Blessed,Brian
Blier,Bernard
Blocker,Dan
Blondell,Joan
Bloom,Claire
Bloom,Verna
Blore,Eric
Blue,Monte
Blyth,Ann
Slaughter,Elizabeth Blythe
Blythe,John
Boardman,Eleanor
Bochner,Lloyd
Boehm,Karlheinz
Van Den Bogaerd,Derek
Bohnen,Roman
Bois,Curt
Boland,Mary
Bolger,Ray
Bolling,Tiffany
Bologna,Joseph
Bonanova,Fortunio
Bond,Derek
Bond,Lillian
Bond,Ward
Bondartchuk,Sergei
Bondy,Beulah
Bonnaire,Sandrine
Bono,Salvatore
Boone,Pat
Boone,Richard
Boorman,John
David,M
Booth,Thelma Ford
Boothe,Powers
Borg,Veda
Borge,Victor
Borgnino,Ermes
Bosley,Tom
Bostwick,Barry
Bottoms,Joseph
Bottoms,Sam
Bottoms,Timothy
Gutscher,Barbara
Bouquet,Michel
Bourneuf,Phillip
Bow,Clara
Bowdon,Dorris
Jones,David Robert
Bowker,Judy
Bowman,Lee
Boxleitner,Bruce
Millar,William
Boyd,William
Boyer,Charles
Boyle,Peter
Bozyk,Reizel
Bozzuffi,Marcel
Bracken,Eddie
Brady,Alice
Brady,Pat
Tierney,Gerald
Braga,Sonia
Braithwaite,Dame Lilian
Brambell,Wilfrid
Branagh,Kenneth
Brickman,Miriam
Brimley,A.Wilford
Brand,Neville
Brandauer,Klaus Maria
Brando,Marlon
Kleinbach,Henry
Brandon,Michael
Brantley,Betsy
Brasseur,Claude
Brasseur,Pierre
Brazzi,Rossano
Brendel,El
Brennan,Eileen
Brennan,Walter
Brent,Eve
Riggs,Mary Elizabeth
Nolan,George Brent
McLaverty,Edmund
bn,fn
Bressart,Felix
Huggins,Jeremy
Brialy,Jarn-ClaudeGn
Brian,David
Dantzler,Louise
Borach,Fanny
bn,gn
Bridges,Beau
Bridges,Jeff
Bridges,Lloyd
Brimley,A. Wilford
Pedersen,Carl
Wilkens,Maybritt
Cupito,Susanne
Crukor,Barbara Brantingham
Britton,Pamela
Britton,Tony
Brix,Herman
Broderick,Helen
Broderick,James
Broderick,Matthew
Stevens,John
Brody,Estelle
Brolin,James
Bromberg,J.~Edward
Bromfield,John
Bron,Eleanor
Buchinski,Charles
Brook,Clifford
Brook,Faith
Peterson,Beatrice
Einstein,Albert Lawrence
Stroock,Geraldine
Brooks,James L.
Kaminsky,Melvin
Weiler,Phyllis
Brooks,Rand
Brooks,Ray
Brophy,Edward S.
Brough,Mary
Brown,Blair
Brown,Bryan
Brown,Juanita
Brown,George
Klot,Georgia
Brown,James
Brown,Jim
Brown,Joe E.
Brown,John Mack
Brown,Tom
Brind,Smylla
Brown,Wally
Browne,Coral
Browne,Roscoe Lee
McBroom,Marden
Nigel,Bruce
Briggs,Helen Virginia
Broadbent,Dora
Bryant,Michael
Bryant,Nana
Bryner,Youl
Buchan,John
Buchanan,Jack
Buchholz,Horst
Bujold,Genevieve
Bull,Peter
Bullock,Sandra
Bunnage,Avis
Buono,Victor
Valerie,Burdinelli
Burke,James
Burke,Paul
Burnett,Carol
Burnette,gn
Burns,Bob
Burns,Catherine
Birnbaum,Nathan
Burns,Mark
Burr,Raymond
Gilhooley,Edna
Burton,Kate
Burton,LeVar
Jenkins,Richard
Burton,Robert
Buscemi,Steve
Busch,Mae
Busey,Gary
Bush,Billy
Bushell,Anthony
Bushman,Francis X.
Butler,Robert
Butler,Yancy
Butterworth,Charles
Chwatt,Aaron
Buzzi,Ruth
Byington,Spring
Byrd,Ralph
Byrne,Eddie
Byron,Kathleen
Butler,Walter
Caan,James
deBujac,Etienne Pelissier
Cabot,Sebastian
Cadell,Jean
Caesar,Sid
Coppola,Nicolas
Cagney,Jean
Cagney,James
Cagney,William
Cohen,Howard
Micklewhite,Maurice
Calder-Marshall,Anna
Vogt,Carl
Durgin,Frances Timothy
Caliniff,Martin
Kalogeropolos,Maria
Spurin-Calleia,Joseph
Calloway,Cabell
Calthrop,Donald
Bickle,Phyllis
Dibos,Corinne
Calvin Goodman jr.,Wimberly
Cambridge,Godfrey
Cox,Nathan
Campanella,Joseph
Campbell,Beatrice
Campbell,William O.
Campbell,Colin
Campbell,Colin
Campbell,Eric
Campbell,Glen
Campbell,William
Canale,Gianna Maria
Candy,John
Friesen,Samile Diane
Cannon,J.D.
Canova,Juliet
Moreno,Mario
Itskowitz,Edward Israel
Capote,Truman
Lefebre,Germaine
Cardinale,Claudia
Carey,Harry
Carey jr.,Harry
Lawrence,Joyce
Carey,Leonard
Carey,MacDonald
Carey,Philip
Carey,Timothy
Cargill,Patrick
Conn Holzman,Catherine
Carlson,Richard
Carmichael,Hoagland Howard
Carmichael,Ian
Carminati de Brambilla,Count Tullio
Carne,Judy
Carney,Art
Carney,George
Carnovsky,Morris
Mourer,Maryse
Lederer,Evelyn
Caron,Leslie
Carr,Darleen
Carr,Mary
Carradine,John Arthur
Carradine,Richmond Reed
Carradine,Keith
Carradine,Robert
Carrera,Barbara
Carrey,Jim
LaFaye,Julian
Carroll,Leo G.
LaHiff,Ann
Carrol,Regina
Carson,Charles
Carson,Jack
Carson,John David
Carter,Ann
Carter,Ben
Rickerts,Helen
Carter,Helena (Helly) Bonham
Chakrin,John
Cartwright,Veronica
Caruso,Anthony
Murray,Louise Spilger
Casey,Bernie
Cash,Johnny
Cash,Rosalind
Cassavetes,John
Crochon,Jean-Pierre
Cassel,Seymour
Cassidy,Jack
Cassidy,Joanna
Cassidy,Ted
Castellano,Richard
Schloss,William
Cates,Phoebe
Catlett,Walter
Caulfield,Joan
Cavanagh,Paul
Cavanaugh,Hobart
Cawthorn,Joseph
Cazale,John
Celi,Adolfo
Cervi,Gino
Chakiris,George
Chamberlain,Richard
Belcher,Majorie
Chan,Jack
Chandler,Chick
Chandler,George
Chandler,Helen
Grossel,Ira
Chandler,Joan
Chandler,John Davis
Chaney,Alonzo
Chaney,Creighton
Channing,Carol
Channing,Susan
Chaplin,Sir Charlie
Chaplin,Geraldine
Chaplin,Sydney
Chapman,Edward
Chapman,Graham
Chapman,Lonny
Chapman,Marguerite
Finklea,Tula Ellice
Robinson,Ray Charles
Charleson,Ian
Charters,Spencer
Parrott,Charles
Chase,Chevy
Chatterjee,Soumitra
Chatterton,Ruth
Evans,Ernest
Chekhov,Michael
Sarkisian,Cherilyn
Cherkassov,Nicolai
Cherrill,Virginia
Cheung,Leslie
Reri,none
Chevalier,Maurice
Annichiarico,Walter
Chiles,Lois
Chitty,Eric
Choudhury,Sarita
Christie,Audrey
Christie,Julie
Christopher,Dennis
bn,William
Churchill,Berton
Cianelli,Eduardo
Cilento,Diane
Cimino,Michael
Fagan,Ina
Clare,Mary
Clarence,O.B.
Clark,Candy
Clark,Cliff
Zanville,Bernard
Clark,Ernest
Clark,Fred
Clark,Ken
Clark,Marguerite
Clark,Petula
Clark,Susan
Clarke-Smith,D.A.
Clayburgh,Jill
Clayton,Ethel
Cleese,John
Clementi,Pierre
Clements,Sir John
Clift,Montgomery
Greig,Clive
Clive,E.E.
Clooney,George
Clooney,Rosemary
Close,Glenn
Cloutier,Suzanne
Clouzot,Vera
Clunes,Alec
Clyde,Andy
Jacoby,Leo
Coburn,Charles
Coburn,James
Cochran,Robert
Coco,James
Codee,Ann
Louis,Cote
Coe,Peter
Coffin,Tristam
Cohan,George M.
Chauchoin,Lily Claudette
Cole,George
Coles,Nathaniel
Coleman,Charles
Coleman,Dabney
Coleman,Gary
Coleman,Nancy
Colin,Jean
Sullivan,Bonar
Hardie,Laura Constance
Collier,John
Jones,Madelyn
Collier,Patience
Senior,William
Collinge,Patricia
Collins,Cora Sue
Collins,Eddie
Collins,Joan
Collins,Lewis
Collins,Ray
Collins,Pauline
Collins,Russell
Heermance,Dorothy
Colman,Richard
Colman,Ronald
Colonna,Jerry
Comer,Anjanette
Winters,Kay or Linda
Compson,Betty
Compton,Fay
Hunt,Eleanor
Conaway,Jeff
Cowles,Jules
Conlin,Jimmy
Connelly,Christopher
Connery,Neil
Connery,Thomas
Connolly,Walter
Connolly,Kenneth
Connors,Kevin
Ohanian,Krekor
1952-1981,Ohanian
1952-1981,Ohanian
Falk,Conrad Robert
Conrad,William
Conried,Hans
Conroy,Frank
Conte,Richard
Conti,Tom
Converse,Frank
Convy,Bert
Carmody,Gareth
Conway,Morgan
Conway,Tim
Coogan,Jackie
Cook,Clyde
Cook,Elisha~Jr.
Cook,Fielder
Cook,Peter
Cook,Ron
Cooper,Frank J.
Cooper,Dame Gladys
Cooper,Jackie
Cooper,Melville
Cooper,Miriam
Coote,Robert
Coppola,Francis
Coppola,Sofia
Corbett,Gretchen
Corbett,Harry
Hansen,Ellen
Corcoran,Kevin
Viespi,Alexander
Cordova,Lola
Cordiaux,R
Corey,Jeff
Corey,Wendell
Corman,Roger
Riccobonii,Adrienne
Corrigan,Douglas
Corrigan,Lloyd
Cort,Bud
Cortesa,Valentina
Cortez,Ricardo
Cosby,Bill
Howard,Cosell
Cossins,James
Costello,Dolores
Costello,Helene
Costello,Lou
Costner,Kevin
Cotten,Joseph
Coulouris,George
Court,Hazel
Courtenay,Tom
Courtneige,Dame Cicely
Cowan,Jerome
Coward,Sir Noel
Cox,Ronny
Cox,Wally
Crabbe,Clarence Linden
Meador,John
Gregson,Michael
Craig,Wendy
Crain,Jeanne
Cravat,Nick
Craven,Frank
Craven,Gemma
Crawford,Andrew
Crawford,Broderick
leSueur,Lucille
Crawford,John
Crawford,Michael
Cregar,Laird
Crenna,Richard
Crews,Laura Hope
Cribbins,Bernard
MiC,y1973-1981
Crisp,Donald
Maya,Victoria
Crocker,Barry
Radebaugh,Roy
Blake,Hume
Crosby,Harry Lillis
Crosby,Harry
Crosman,Henrietta
Cross,Ben
Crosse,Rupert
Crothers,Scatman
Crowley,Pat
Cruickshank,Andrew
Crutchley,Rosalie
Bosen,Jens Cruz
Crystal,Billy
Cucciola,Riccardo
Culkin,Macaulay
Culkin,Kieran
Culp,Robert
Culver,Roland
Cors.,Ruth Cumming
Halverstadt,Constance
Cummings,Robert
Cunningham,Cecil
Cuny,Alain
Jefferson,Finlay
Curry,Tim
Curtis,Alan
Curtis,Jamie Lee
Curtis,Kelly
Curtis,Ken
Schwarz,Bernard
Curzon,George
Cusack,Cyril
Cushing,Peter
Cuthbertson,Allan
Cybulski,Zbigniew
Dafoe,Willem
Dagover,gn
Dahl,Arlene
Dahlbeck,Eva
Daily,Dan
Dalby,Amy
Marks,Charles
Smith,James
Bleuschild,Marcel Benoit
Dall,John
Dalton,Timothy
Daltrey,Roger
Daly,James
Daly,Tyne
Doman,Mark
Farinola,Vito
Cowan,Claude
Dana,Bill
Dana,Leora
Dandridge,Dorothy
Daen,Karl
Daniell,Henry
Daniels,Virginia
Daniels,William
Danner,Blythe
Dano,Royal
Danson,Ted
Vitti,Ralph
Dantine,Helmut
Danton,Ray
Zenby,Deborah
Billecard,Denise
Sarruf,Alexander
Cassotto,Walden Robert
Darnell,Monetta Eloisa
Ercolani,James
Darrieux,Danielle
Woodward,Patti
Siverblatt,Harold
Dassin,Jules
Dauphin,Claude
Davenport,Harry
Davenport,Nigel
David,Thayer
Davidson,John
Davidson,William B.
Davies,John Howard
Davidovich,Lolita
Douras,Marion
Davies,Rupert
Davis,Ruth Elizabeth
Davis,Brad
Davis,Jim
Davis,Joan
Davis,Judy
Robbins,Anne Frances
Davis,Ossie
Davis,Samuel
Davison,Bruce
Dawson,Anthony
Day,Dennis
Kappelhoff,Doris
Day,Frances
Day,Josette
Johnson,Laraine
Day-Lewis,Daniel
Deacon,Richard
Hodgkinson,Isabel
Dean,James
deBanzie,Brenda
DeBray,Yvonne
deBrulier,Nigel
Camp,Rosemary
Middleton,Peggy
Casalis,Jeanne
DeCordoba,Pedro
Garcia,Arturo
DeCorsia,Ted
Dee,Jean
Dee,Ruby
Zuck,Alexandra
Passarelli,Eduardo
Passarelli,Luca
Passarelli,Peppino
Defore,Don
Degermark,Pia
West,Julian
|de Havilland,Olivia
Forkum,John
Dekker,Albert
De La Motte,Marguerite
Delair,Suzy
Delevanti,Cyril
Delon,Alain
Girard,Gabrielle
DelPoggio,Carla
Delpy,Julie
Asunsolo,Dolores
De Luise,Dom
Demarest,William
de Marney,Derrick
de Marney,Terrence
deMadeiros,Maria
De Mille,Cecil
Lester,Katherine
Demongeot,Mylene
Dempster,Carol
Dench,Judi
Dorleac,Catherine
Denham,Maurice
de Niro,Robert
Denison,Michael
Dennehy,Brian
Denner,Charles
Denninger,Louis A.
Dennis,Sandra Dale
Daymore,Reginald Leigh
Denver,Bob
Depp,Johnny
de Putti,Lya
Dequenne,Emilie
Collins,Mary Cathleen
Harris,Derek
Dern,Bruce
Dern,Laura
Derr,Richard
Desailly,Jean
DeSica,Vittorio
Desny,Ivan
DeSouza,Edward
bn,gn
Deutsch,Ernst
Devine,Andy
Devlin,J.G.
Devlin,William
Dewaere,Patrick
deWilde,Brandon
Dewhurst,Colleen
DeWolff,Francis
Dey,Susan
DeYoung,Cliff
Dheigh,Khigh
Diamond,Selma
Diaz,Cameron
Brown,Angeline
Dierkes,John
Dieterle,Wilhelm
von Losch,Maria M.
Diffring,Anton
Dignam,Arhur
Dignam,Basil
Dignam,Mark
Diller,Phyllis
Dillman,Bradford
Dillon,Matt
Dillon,Melinda
Dingle,Charles
Celine,Dion
DiPaolo,Dante
Dishy,Bob
Dix,Richard
Dixon,Jean
Dobson,Tamara
Dodd,Claire
bn,fn
Domergue,Faith
Domingo,Placido
Johnson,Merle
Donald,James
Donat,Peter
Donat,Robert
Donath,Ludwig
Donlan,Yolande
Donlevy,Brian
Donnell,Jeff
Donelly,Donal
Donnelly,Ruth
Donohue,Amanda
Donovan,King
fn,gn
Dooley,Paul
Dor,Karin
Doran,Ann
bn,gn
Dorleac,Francoise
Dorn-Heft,D
vanDongen,Frits
Dorn,Sandra
Fluck,Diana
Lussier,Yvonne
Moppert,G
Dotrice,Roy
Green,Catherine
Douglas,Donald
Douglas,Donna
Demsky,Issur Danielovitch
Hesselberg,Melvyn
Douglas,Michael
Douglas,Paul
Finlayson,Robert Douglas
Dourif,Brad
Bohny,Lilian
Varnadow,Peggy
Dowd,Ned
Dowling,Doris
Dowling,Joan
Down,Lesley-Anne
Downey,Robert~jr.
Downs,Johnny
Drake,Betsy
Ruppert,Charles
Novella,Rita
Drake,Frances
